cve,svn_commit,other_platform_git_commit,github_commit,equivalent_commit
CVE-2014-0097,,,https://github.com/spring-projects/spring-security/commit/7dbb8e777ece8675f3333a1ef1cb4d6b9be80395,
CVE-2014-0107,http://svn.apache.org/viewvc?view=revision&revision=1581058,,,svn_1581058==git_cbfd906cc5a1f1566fa1a98400c82e56077fae0c
CVE-2014-0107,,,https://github.com/apache/xalan-j/commit/cbfd906cc5a1f1566fa1a98400c82e56077fae0c,svn_1581058==git_cbfd906cc5a1f1566fa1a98400c82e56077fae0c
CVE-2014-0109,,,https://github.com/apache/cxf/commit/f8ed98e684c1a67a77ae8726db05a04a4978a445,
CVE-2014-0110,,,https://github.com/apache/cxf/commit/8f4799b5bc5ed0fe62d6e018c45d960e3652373e,
CVE-2014-0110,,,https://github.com/apache/cxf/commit/643b1bc7320ca90c3e078e50509f9a30a0ab45be,
CVE-2014-0110,,,https://github.com/apache/cxf/commit/35cd29270b77b489cb23552637d66d47ce480f4c,
CVE-2014-0116,,,https://github.com/apache/struts/commit/1a668af7f1ffccea4a3b46d8d8c1fe1c7331ff02,
CVE-2014-0120,,,https://github.com/hawtio/hawtio/commit/b4e23e002639c274a2f687ada980118512f06113,
CVE-2014-0121,,,https://github.com/hawtio/hawtio/commit/5289715e4f2657562fdddcbad830a30969b96e1e,
CVE-2014-0193,,,https://github.com/netty/netty/commit/48edb7802b42b0e2eb5a55d8eca390e0c9066783,
CVE-2014-0193,,,https://github.com/netty/netty/commit/787a85f9f1b816ee901c1ec00348ae2007bb9d3b,
CVE-2014-0193,,,https://github.com/netty/netty/commit/8599ab5bdb761bb99d41a975d689f74c12e4892b,
CVE-2014-0193,,,https://github.com/netty/netty/commit/73b26b7c2598f36196b760ec590eefd37c8db62a,
CVE-2014-0193,,,https://github.com/netty/netty/commit/dfbd8e881980677bc21b5a53b80c8555061ffa84,
CVE-2014-0193,,,https://github.com/netty/netty/commit/cab1fa22ff43f604cc11631d5fccfa3e9231399a,
CVE-2014-0193,,,https://github.com/netty/netty/commit/93fab1d5a3a45a8104e560118930c1d652dce8cb,
CVE-2014-0224,,,https://github.com/openssl/openssl/commit/bc8923b1ec9c467755cd86f7848c50ee8812e441,
CVE-2014-0224,,,https://github.com/openssl/openssl/commit/410a49a4fa1d2a1a9775ee29f9e40cbbda79c149,
CVE-2014-0224,,https://git.openssl.org/gitweb/?p=openssl.git;a=commitdiff;h=897169fdf06bf75b4d0c503d61abb45656dd90a6,,
CVE-2014-0224,,,https://github.com/openssl/openssl/commit/006cd7083f76ed5cb0d9a914857e9231ef1bc317,
CVE-2014-0225,,,https://github.com/spring-projects/spring-framework/commit/44ee51a6c9c3734b3fcf9a20817117e86047d753,
CVE-2014-0225,,,https://github.com/spring-projects/spring-framework/commit/c6503ebbf7c9e21ff022c58706dbac5417b2b5eb,
CVE-2014-0225,,,https://github.com/spring-projects/spring-framework/commit/8e096aeef55287dc829484996c9330cf755891a1,
CVE-2014-0228,,,https://github.com/apache/hive/commit/c3d7083b7605d1753946c4c4411e3a3241ea7ffe,
CVE-2014-1202,,,https://github.com/SmartBear/soapui/commit/6373165649ad74257493c69dbc0569caa7e6b4a6,
CVE-2014-1904,,,https://github.com/spring-projects/spring-framework/commit/741b4b229ae032bd17175b46f98673ce0bd2d485,
CVE-2014-3120,,,https://github.com/elastic/elasticsearch/commit/95bd04b2c7fd7387c7e3b3367361dcf9fe9f9d06,
CVE-2014-3120,,,https://github.com/elastic/elasticsearch/pull/5943/commits/81e83cca7470ffbe84faafc03d74c7117c4e6d05,
CVE-2014-3488,,,https://github.com/netty/netty/commit/2fa9400a59d0563a66908aba55c41e7285a04994,
CVE-2014-3576,,,https://github.com/apache/activemq/commit/00921f22ff9a8792d7663ef8fadd4823402a6324,
CVE-2014-3577,http://svn.apache.org/viewvc?view=revision&revision=1614065,,,
CVE-2014-3577,http://svn.apache.org/viewvc?view=revision&revision=1614064,,,svn_1614064==git_51cc67567765d67f878f0dcef61b5ded454d3122
CVE-2014-3577,,,https://github.com/apache/httpcomponents-client/commit/51cc67567765d67f878f0dcef61b5ded454d3122,svn_1614064==git_51cc67567765d67f878f0dcef61b5ded454d3122
